"1080.01.BAL","AA","Code and Description","1080.01.BAL -"
"1080.09.01","AS","Old Order","1080.10.01"
"1080.10.01","AA","DAFF Original","437020"
"1080.10.01","AA","Description","Sustainable Rural Water Use & Infrastructure Programme (SRWUIP) Bill2 - Infrastructure"
"1080.10.01","AA","Code and Description","1080.10.01 - Sustainable Rural Water Use & Infrastructure Programme (SRWUIP) Bill2 - Infrastructure"
"1080.10.01","AS","Old Order","1080.11.01"
"1080.11.01","AA","DAFF Original","437021"
"1080.11.01","AA","Description","WATERREF - National Water Infrastructure Development Fund (NWIDF) - Res & Land Use Assess"
"1080.11.01","AA","Code and Description","1080.11.01 - WATERREF - National Water Infrastructure Development Fund (NWIDF) - Res & Land Use Assess"
"1080.11.01","AS","Old Order","1080.12.01"
"1080.12.01","AA","DAFF Original","437022"
"1080.12.01","AA","Description","Urban Water Supply & Treatment Loans Bill 2"
"1080.12.01","AA","Code and Description","1080.12.01 - Urban Water Supply & Treatment Loans Bill 2"
"1080.12.01","AS","Old Order","1080.13.01"
"1080.12.02","AA","DAFF Original","437023"
"1080.12.02","AA","Description","WATERREF - Murray-Darling Basin Authority - DEP"
"1080.12.02","AA","Code and Description","1080.12.02 - WATERREF - Murray-Darling Basin Authority - DEP"
"1080.12.02","AS","Old Order","1080.13.02"
"1080.13.01","AA","DAFF Original","437024"
"1080.13.01","AA","Description","Sustainable Rural Water Use & Infrastructure Programme (SRWUIP) - Supply Measures Bill 1"
"1080.13.01","AA","Code and Description","1080.13.01 - Sustainable Rural Water Use & Infrastructure Programme (SRWUIP) - Supply Measures Bill 1"
"1080.13.01","AS","Old Order","1080.14.01"
"1080.13.02","AA","DAFF Original","437025"
"1080.13.02","AA","Description","WATERREF - Water Loan facility - Interest & Discounts"
"1080.13.02","AA","Code and Description","1080.13.02 - WATERREF - Water Loan facility - Interest & Discounts"
"1080.13.02","AS","Old Order","1080.14.02"
"1080.15.01","AA","DAFF Original","000255"
"1080.15.01","AA","Description","MDBA - MDBP - Second Pass Business Case (cc)"
"1080.15.01","AA","Code and Description","1080.15.01 - MDBA - MDBP - Second Pass Business Case (cc)"
"1080.15.01","AS","Old Order","1080.16.01"
"1080.16.01","AA","DAFF Original","000256"
"1080.16.01","AA","Description","MDBA - MDBP - Sustainable Rivers (ADM) (CC)"
"1080.16.01","AA","Code and Description","1080.16.01 - MDBA - MDBP - Sustainable Rivers (ADM) (CC)"
"1080.16.01","AS","Old Order","1080.17.01"
"1080.17.01","AA","DAFF Original","000554"
"1080.17.01","AA","Description","MDBA - Strengthening Compliance in the MDB"
"1080.17.01","AA","Code and Description","1080.17.01 - MDBA - Strengthening Compliance in the MDB"
"1080.17.01","AS","Old Order","1080.18.01"
"1080.18.01","AA","DAFF Original","000258"
"1080.18.01","AA","Description","Water Research Goyder Institute"
"1080.18.01","AA","Code and Description","1080.18.01 - Water Research Goyder Institute"
"1080.18.01","AS","Old Order","1080.19.01"
"1080.19.01","AA","DAFF Original","000259"
"1080.19.01","AA","Description","Committee on Indigenous Water Interests"
"1080.19.01","AA","Code and Description","1080.19.01 - Committee on Indigenous Water Interests"
"1080.19.01","AS","Old Order","1080.20.01"
"1080.20.01","AA","DAFF Original","000614"
"1080.20.01","AA","Description","Sustainable Rural Water Use & Infrastructure Programme (SRWUIP) - MIL reducing infrastructure network system losses"
"1080.20.01","AA","Code and Description","1080.20.01 - Sustainable Rural Water Use & Infrastructure Programme (SRWUIP) - MIL reducing infrastructure network system losses"
"1080.20.01","AS","Old Order","1080.21.01"
"1080.21.01","AA","DAFF Original","NWIDF1"
"1080.21.01","AA","Description","NWIDF1 - WATERREF - National Water Infrastructure Development Fund (NWIDF)"
"1080.21.01","AA","Code and Description","1080.21.01 - NWIDF1 - WATERREF - National Water Infrastructure Development Fund (NWIDF)"
"1080.21.01","AS","Old Order","1080.22.01"
"1080.21.02","AA","DAFF Original","NWGA01"
"1080.21.02","AA","Description","NWGA01 - WATERREF - National Water Grid Authority"
"1080.21.02","AA","Code and Description","1080.21.02 - NWGA01 - WATERREF - National Water Grid Authority"
"1080.21.02","AS","Old Order","1080.22.02"
"1080.22.01","AA","DAFF Original","110031"
"1080.22.01","AA","Description","MDBA increase compliance"
"1080.22.01","AA","Code and Description","1080.22.01 - MDBA increase compliance"
"1080.22.01","AS","Old Order","1080.23.01"
"1080.22.02","AA","DAFF Original","110032"
"1080.22.02","AA","Description","PT MDBA - increase compliance"
"1080.22.02","AA","Code and Description","1080.22.02 - PT MDBA - increase compliance"
"1080.22.02","AS","Old Order","1080.23.02"
"1080.23.01","AA","DAFF Original","110033"
"1080.23.01","AA","Description","MDBA updating the Science"
"1080.23.01","AA","Code and Description","1080.23.01 - MDBA updating the Science"
"1080.23.01","AS","Old Order","1080.24.01"
"1080.23.02","AA","DAFF Original","110034"
"1080.23.02","AA","Description","PT MDBA-update Sci-future proof"
"1080.23.02","AA","Code and Description","1080.23.02 - PT MDBA-update Sci-future proof"
"1080.23.02","AS","Old Order","1080.24.02"
"1080.23.03","AA","DAFF Original","110035"
"1080.23.03","AA","Description","PT MDBA-update Sci-sus yield audit"
"1080.23.03","AA","Code and Description","1080.23.03 - PT MDBA-update Sci-sus yield audit"
"1080.23.03","AS","Old Order","1080.24.03"
