"0000A","AA","ME ID Code and Description","0000A - Annual Estimates Profile"
"0000A","AA","ME ID Description","Annual Estimates Profile"
"0000B","AA","ME ID Code and Description","0000B - Final ME Profiles"
"0000B","AA","ME ID Description","Final ME Profiles"
"MA0RE","AA","MA ID Description","Related Entity Values"
"MANFA","AA","MA ID Description","Non-Financial Asset Values"
"MAEQU","AA","MA ID Description","Equity Values"
"MACFS","AA","MA ID Description","Cash Flow Values"
"MA0RE - ADMIN","AA","MA ID Description","Administered Related Entity Signoff"
"MANFA - ADMIN","AA","MA ID Description","Administered Non-financial Asset Signoff"
"MAEQU - ADMIN","AA","MA ID Description","Administered Equity Signoff"
"MACFS - ADMIN","AA","MA ID Description","Administered Cash Flow Signoff"
"MA0RE - DEPT","AA","MA ID Description","Departmental Related Entity Signoff"
"MANFA - DEPT","AA","MA ID Description","Departmental Non-financial Asset Signoff"
"MAEQU - DEPT","AA","MA ID Description","Departmental Equity Signoff"
"MACFS - DEPT","AA","MA ID Description","Departmental Cash Flow Signoff"
"00001","AA","ME ID Code and Description","00001 - Entered Profiles"
"00001","AA","ME ID Description","Entered Profiles"
"00002","AA","ME ID Code and Description","00002 - Percentages"
"00002","AA","ME ID Description","Percentages"
"00003","AA","ME ID Code and Description","00003 - Calculated Profiles"
"00003","AA","ME ID Description","Calculated Profiles"
"00004","AA","ME ID Code and Description","00004 - Manual Override"
"00004","AA","ME ID Description","Manual Override"
"00010","AS","sys_new meas","M00198"
"00045","AS","sys_new meas","M00199"
"00053","AS","sys_new meas","M00198"
"00079","AS","sys_new meas","M00201"
"00086","AS","sys_new meas","M00203"
"00088","AS","sys_new meas","M00206"
"00128","AS","sys_new meas","M00223"
"00128","AS","sys_old meas","M00000"
"00182","AS","sys_new meas","M00214"
"00182","AS","sys_old meas","M00000"
"00213","AS","sys_new meas","M00219"
"00213","AS","sys_old meas","M00000"
"00215","AS","sys_new meas","M00202"
"00217","AS","sys_new meas","M00202"
"00222","AS","sys_new meas","M00192"
"00222","AS","sys_old meas","M00000"
"00223","AS","sys_new meas","M00223"
"00223","AS","sys_old meas","M00000"
"00224","AS","sys_new meas","M00223"
"00224","AS","sys_old meas","M00000"
"00225","AS","sys_new meas","M00223"
"00225","AS","sys_old meas","M00000"
"00226","AS","sys_new meas","M00223"
