"GEUS PROCESS TEST","Update","Form ID","Form Description","Comments","Agency Sector","Portfolio","Agency Code","Agency Name","Control Type","Outcome Code","Outcome Name","Program Code","Program Name","Function Code","Function Name","Sub Function Code","Sub Function Name","Appropriation Code","Appropriation Bill Schedule","Appropriation Name","Reason Code","Reason","Measure Code","Measure Title","Account Code","Account Name","Movement Account Code","Movement Account Name","Related Agency Code","Related Agency Name","SPP Code","SPP Name","Jurisdiction","Value Type","DR/CR","2020/21
PA
($'000)","2021/22
RB
($'000)","2022/23
NB
($'000)","2023/24
FE1
($'000)","2024/25
FE2
($'000)","2025/26
FE3
($'000)","2026/27
FE4
($'000)","2027/28
FE5
($'000)","2028/29
FE6
($'000)","2029/30
FE7
($'000)","2030/31
FE8
($'000)","2031/32
FE9
($'000)","2032/33
FE10
($'000)","2033/34
FE11
($'000)","2034/35
FE12
($'000)","2035/36
FE13
($'000)","Stage","Username","Date and Time"
"GEUS PROCESS TEST","2021/22 MYEFO","271647.0","TSY Admin- SPP729 - WiFi and Mobi-MYEFO-2021-22 - ADJ-1","","GGS","Treasury","15500","TREASURY","Administered","12049","Treasury-Treasury:01","40044","National Partnership Payments - Other Transport and Communications","2600","Transport and Communication","2608","Other Transport and Communications","","","","1018.0","Approved Movement of Funds - between years","","","2335008","Capital Grants to State and Territory Governments","","","","","SPP729","Wifi on Trains","NSW","System Generated Val","DR","0","2000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Validated","MARRE1","26/11/2021 08:16:10"
"GEUS PROCESS TEST","2021/22 MYEFO","271647.0","TSY Admin- SPP729 - WiFi and Mobi-MYEFO-2021-22 - ADJ-1","","GGS","Treasury","15500","TREASURY","Administered","12049","Treasury-Treasury:01","40044","National Partnership Payments - Other Transport and Communications","2600","Transport and Communication","2608","Other Transport and Communications","","","","1018.0","Approved Movement of Funds - between years","","","4100001","Accumulated results","7201.0","Operating Result","","","SPP729","Wifi on Trains","NSW","System Generated Val","DR","0","2000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Validated","MARRE1","26/11/2021 08:16:10"
"GEUS PROCESS TEST","2021/22 MYEFO","271647.0","TSY Admin- SPP729 - WiFi and Mobi-MYEFO-2021-22 - ADJ-1","","GGS","Treasury","15500","TREASURY","Administered","12049","Treasury-Treasury:01","40044","National Partnership Payments - Other Transport and Communications","2600","Transport and Communication","2608","Other Transport and Communications","","","","1018.0","Approved Movement of Funds - between years","","","4100001","Accumulated results","7211.0","Entity Balance - 30 June last year","","","SPP729","Wifi on Trains","NSW","System Generated Val","DR","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Validated","MARRE1","26/11/2021 08:16:10"
"GEUS PROCESS TEST","2021/22 MYEFO","271647.0","TSY Admin- SPP729 - WiFi and Mobi-MYEFO-2021-22 - ADJ-1","","GGS","Treasury","15500","TREASURY","Administered","12049","Treasury-Treasury:01","40044","National Partnership Payments - Other Transport and Communications","2600","Transport and Communication","2608","Other Transport and Communications","","","","1018.0","Approved Movement of Funds - between years","","","6100001","Cash at beginning of year","","","","","SPP729","Wifi on Trains","NSW","System Generated Val","DR","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Validated","MARRE1","26/11/2021 08:16:10"
"GEUS PROCESS TEST","2021/22 MYEFO","271647.0","TSY Admin- SPP729 - WiFi and Mobi-MYEFO-2021-22 - ADJ-1","","GGS","Treasury","15500","TREASURY","Administered","12049","Treasury-Treasury:01","40044","National Partnership Payments - Other Transport and Communications","2600","Transport and Communication","2608","Other Transport and Communications","","","","1018.0","Approved Movement of Funds - between years","","","6211006","Appropriations from the Official Public Account","","","49800.0","CROWN","SPP729","Wifi on Trains","NSW","Derived","DR","0","2000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Validated","MARRE1","26/11/2021 08:16:10"
"GEUS PROCESS TEST","2021/22 MYEFO","271647.0","TSY Admin- SPP729 - WiFi and Mobi-MYEFO-2021-22 - ADJ-1","","GGS","Treasury","15500","TREASURY","Administered","12049","Treasury-Treasury:01","40044","National Partnership Payments - Other Transport and Communications","2600","Transport and Communication","2608","Other Transport and Communications","","","","1018.0","Approved Movement of Funds - between years","","","6212006","Grant payments","","","","","SPP729","Wifi on Trains","NSW","Derived","DR","0","-2000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Validated","MARRE1","26/11/2021 08:16:10"
"GEUS PROCESS TEST","2021/22 MYEFO","271647.0","TSY Admin- SPP729 - WiFi and Mobi-MYEFO-2021-22 - ADJ-1","","GGS","Treasury","15500","TREASURY","Administered","12049","Treasury-Treasury:01","40044","National Partnership Payments - Other Transport and Communications","2600","Transport and Communication","2608","Other Transport and Communications","A010-00014-01436","","Nil Appropriation Impact - Nil Appropriation Impact - Nil Appropriation Impact","1018.0","Approved Movement of Funds - between years","","","4100001","Accumulated results","7593.0","Administered Appropriations from the OPA (Admin Only) - agre","49800.0","CROWN","SPP729","Wifi on Trains","NSW","System Generated Val","DR","0","-2000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Validated","MARRE1","26/11/2021 08:16:10"
"GEUS PROCESS TEST","2021/22 MYEFO","271647.0","TSY Admin- SPP729 - WiFi and Mobi-MYEFO-2021-22 - ADJ-1","","GGS","Treasury","15500","TREASURY","Administered","12049","Treasury-Treasury:01","40044","National Partnership Payments - Other Transport and Communications","2600","Transport and Communication","2608","Other Transport and Communications","A300-30019-03370","SPECIAL ACCOUNTS","Special Account by Act - COAG Reform Fund - s5 COAG Reform Fund Act 2008","1018.0","Approved Movement of Funds - between years","","","9000864","Other special account receipts","","","","","SPP729","Wifi on Trains","NSW","System Generated Val","DR","0","-2000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Validated","MARRE1","26/11/2021 08:16:10"
"GEUS PROCESS TEST","2021/22 MYEFO","271647.0","TSY Admin- SPP729 - WiFi and Mobi-MYEFO-2021-22 - ADJ-1","","GGS","Treasury","15500","TREASURY","Administered","12049","Treasury-Treasury:01","40044","National Partnership Payments - Other Transport and Communications","2600","Transport and Communication","2608","Other Transport and Communications","A300-30019-03370","SPECIAL ACCOUNTS","Special Account by Act - COAG Reform Fund - s5 COAG Reform Fund Act 2008","1018.0","Approved Movement of Funds - between years","","","9000865","Payments made from special account","","","","","SPP729","Wifi on Trains","NSW","System Generated Val","DR","0","2000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Validated","MARRE1","26/11/2021 08:16:10"
"GEUS PROCESS TEST","2021/22 MYEFO","","","","GGS","Treasury","15500","TREASURY","Administered","12049","Treasury-Treasury:01","40044","National Partnership Payments - Other Transport and Communications","2600","Transport and Communication","2608","Other Transport and Communications","","","","","","","","4100001","Accumulated results","7211.0","Entity Balance - 30 June last year","","","","","","","DR","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","",""
