"7763.16","AS","CBMS Level Program","7763"
"7763.BAL","AA","code and description","7763.BAL - Balancing"
"7763.BAL","AS","CBMS Level Program","7763"
"8300","AA","CBMS prog","Australian Government Investment Funds"
"8300","AA","CBMS prog and description","8300 - Australian Government Investment Funds"
"8300","AA","description","Australian Government Investment Funds"
"8300","AA","code and description","8300 - Program 2.9: Australian Government Investment Funds - 8300-A"
"8300.01","AA","description","DisabilityCare Australia Fund Special Account"
"8300.01","AA","code and description","8300.01 - DisabilityCare Australia Fund Special Account"
"8300.01","AS","CBMS Level Program","8300"
"8300.02","AA","description","Medical Research Future Fund Special Account"
"8300.02","AA","code and description","8300.02 - Medical Research Future Fund Special Account"
"8300.02","AS","CBMS Level Program","8300"
"8300.03","AA","description","Aboriginal and Torres Strait Islander Land and Sea Future Fund Special Account"
"8300.03","AA","code and description","8300.03 - Aboriginal and Torres Strait Islander Land and Sea Future Fund Special Account"
"8300.03","AS","CBMS Level Program","8300"
"8300.04","AA","description","Future Drought Fund Special Account"
"8300.04","AA","code and description","8300.04 - Future Drought Fund Special Account"
"8300.04","AS","CBMS Level Program","8300"
"8300.05","AA","description","Disaster Ready Fund Special Account"
"8300.05","AA","code and description","8300.05 - Disaster Ready Fund Special Account"
"8300.05","AS","CBMS Level Program","8300"
"8300.06","AA","description","Housing Australia Future Fund Special Account"
"8300.06","AA","code and description","8300.06 - Housing Australia Future Fund Special Account"
"8300.06","AS","CBMS Level Program","8300"
"8300.07","AA","code and description","8300.07 - Public Sector Superannuation"
"8300.07","AS","CBMS Level Program","8300"
"8300.08","AA","description","Building Aust Ad"
"8300.08","AA","code and description","8300.08 - Building Aust Ad"
"8300.08","AS","CBMS Level Program","8300"
"8300.09","AA","description","Education Investment Fund SA"
"8300.09","AA","code and description","8300.09 - Education Investment Fund SA"
"8300.09","AS","CBMS Level Program","8300"
"8300.10","AA","description","Health Hosp AD"
"8300.10","AA","code and description","8300.10 - Health Hosp AD"
"8300.10","AS","CBMS Level Program","8300"
"8300.BAL","AA","code and description","8300.BAL - Balancing"
"8300.BAL","AS","CBMS Level Program","8300"
"8477","AA","CBMS prog","Ministerial and Parliamentary Services"
"8477","AA","CBMS prog and description","8477 - Ministerial and Parliamentary Services"
"8477","AA","description","Ministerial and Parliamentary Services"
"8477","AA","code and description","8477 - Program 3.1: Ministerial and Parliamentary Services - 8477A"
"8477.01","AA","description","Electorate and ministerial support costs"
"8477.01","AA","code and description","8477.01 - Electorate and ministerial support costs"
"8477.01","AS","CBMS Level Program","8477"
"8477.02","AA","description","Australian Political Exchange Program"
"8477.02","AA","code and description","8477.02 - Australian Political Exchange Program"
"8477.02","AS","CBMS Level Program","8477"
"8477.03","AA","description","Australian Political Parties for Democracy Program"
"8477.03","AA","code and description","8477.03 - Australian Political Parties for Democracy Program"
"8477.03","AS","CBMS Level Program","8477"
"8477.04","AA","description","Australian Constitution s 66"
"8477.04","AA","code and description","8477.04 - Australian Constitution s 66"
"8477.04","AS","CBMS Level Program","8477"
"8477.05","AA","description","Parliamentary Business Resources Act 2017"
"8477.05","AA","code and description","8477.05 - Parliamentary Business Resources Act 2017"
"8477.05","AS","CBMS Level Program","8477"
"8477.06","AA","description","Services to Sentators, Members and their staff"
"8477.06","AA","code and description","8477.06 - Services to Sentators, Members and their staff"
"8477.06","AS","CBMS Level Program","8477"
"8477.07","AA","description","Mem Parl 2002 Ad"
"8477.07","AA","code and description","8477.07 - Mem Parl 2002 Ad"
"8477.07","AS","CBMS Level Program","8477"
"8477.BAL","AA","code and description","8477.BAL - Balancing"
"8477.BAL","AS","CBMS Level Program","8477"
"7758","AA","CBMS prog","FINANCE - Financial and Fiscal Affairs - Departmental - Outcome 1"
"7758","AA","CBMS prog and description","7758 - FINANCE - Financial and Fiscal Affairs - Departmental - Outcome 1"
"7758","AA","description","FINANCE - Financial and Fiscal Affairs - Departmental - Outcome 1"
"7758","AA","code and description","7758 - Program 1.1 Budget and Financial Management - 7758D"
"7758.01","AA","description","Budget Advice"
"7758.01","AA","code and description","7758.01 - Budget Advice"
"7758.01","AS","CBMS Level Program","7758"
"7758.02","AA","description","Financial Reporting"
"7758.02","AA","code and description","7758.02 - Financial Reporting"
"7758.02","AS","CBMS Level Program","7758"
"7758.BAL","AA","code and description","7758.BAL - Balancing"
"7758.BAL","AS","CBMS Level Program","7758"
"1123","AA","CBMS prog","FINANCE - Nuclear Powered Submarine Program - Outcome 2"
"1123","AA","CBMS prog and description","1123 - FINANCE - Nuclear Powered Submarine Program - Outcome 2"
"1123","AA","description","FINANCE - Nuclear Powered Submarine Program - Outcome 2"
"1123","AA","code and description","1123 - Program 2.10: Nuclear Powered Submarine Program Advice - 1123D"
"1123.01","AA","description","Advice"
"1123.01","AA","code and description","1123.01 - Advice"
"1123.01","AS","CBMS Level Program","1123"
"1123.BAL","AA","code and description","1123.BAL - Balancing"
"1123.BAL","AS","CBMS Level Program","1123"
"1248","AA","CBMS prog","Insurance and Risk management"
"1248","AA","CBMS prog and description","1248 - Insurance and Risk management"
"1248","AA","description","Insurance and Risk management"
"1248","AA","code and description","1248 - Program 2.4: Insurance and Risk Management - 1248D"
"1248.01","AA","description","Comcover Special Account"
"1248.01","AA","code and description","1248.01 - Comcover Special Account"
"1248.01","AS","CBMS Level Program","1248"
"1248.BAL","AA","code and description","1248.BAL - Balancing"
"1248.BAL","AS","CBMS Level Program","1248"
"7759","AA","CBMS prog","FINANCE - General Services - Departmental - Outcome 2"
"7759","AA","CBMS prog and description","7759 - FINANCE - General Services - Departmental - Outcome 2"
"7759","AA","description","FINANCE - General Services - Departmental - Outcome 2"
"7759","AA","code and description","7759 - FINANCE - General Services - Departmental - Outcome 2"
"7759.01","AA","code and description","7759.01 - Financial Framework - 2.1"
"7759.01","AS","CBMS Level Program","7759"
"7759.02","AA","description","Government Shareholder Oversight"
"7759.02","AA","code and description","7759.02 - Government Shareholder Oversight - 2.1"
