"Government decision or measure","AS","measure required","Y"
"PDI Changes","AA","CBMS","PDI Changes"
"Changes in beneficiary numbers excluding unemployment","AS","CBMS-R Mapping","1011"
"Changes in beneficiary numbers excluding unemployment","AS","disabled","Y"
"Changes in beneficiary numbers excluding unemployment","AA","CBMS","zz_[DO NOT USE] Changes in beneficiary numbers excluding unemployment"
"Change in beneficiary composition or average rates","AS","CBMS-R Mapping","1011"
"Change in beneficiary composition or average rates","AS","disabled","Y"
"Change in beneficiary composition or average rates","AA","CBMS","zz_[DO NOT USE] Change in beneficiary composition or average rates"
"Program specific - beneficiary or rate changes","AS","CBMS-R Mapping","1011"
"Program specific - beneficiary or rate changes","AS","disabled","Y"
"Program specific - beneficiary or rate changes","AA","CBMS","Program specific - beneficiary or rate changes"
"Program specific - other","AS","CBMS-R Mapping","1012"
"Program specific - other","AS","disabled","Y"
"Program specific - other","AA","CBMS","Program specific - other"
"Borrowings","AS","CBMS-R Mapping","1029"
"Borrowings","AS","disabled","Y"
"Borrowings","AA","CBMS","zz_[DO NOT USE] Borrowings"
"Equity Injections","AS","CBMS-R Mapping","1029"
"Equity Injections","AS","disabled","Y"
"Equity Injections","AA","CBMS","zz_[DO NOT USE] Equity Injections"
"Application of efficiency dividend","AS","CBMS-R Mapping","1015"
"Application of efficiency dividend","AS","disabled","Y"
"Application of efficiency dividend","AA","CBMS","Application of efficiency dividend"
"Receipts from independent sources","AS","CBMS-R Mapping","1042"
"Receipts from independent sources","AS","disabled","Y"
"Receipts from independent sources","AA","CBMS","zz_[DO NOT USE] Receipts from independent sources"
"Approved movement of funds between years","AS","CBMS-R Mapping","1018"
"Approved movement of funds between years","AS","disabled","Y"
"Approved movement of funds between years","AA","CBMS","Approved movement of funds between years"
"Movement of administered funds between years","AS","CBMS-R Mapping","1018"
"Movement of administered funds between years","AS","disabled","Y"
"Self balancing transfers between same year","AS","CBMS-R Mapping","1019"
"Self balancing transfers between same year","AS","disabled","Y"
"Self balancing transfers between same year","AA","CBMS","Self balancing transfers between same year"
"Section 32 Transfers","AS","CBMS-R Mapping","1020"
"Section 32 Transfers","AS","disabled","Y"
"Section 32 Transfers","AA","CBMS","Section 32 Transfers"
"Eliminations","AS","CBMS-R Mapping","1021"
"Eliminations","AS","disabled","Y"
"Eliminations","AA","CBMS","Eliminations"
"Changes/Restatement of Opening Balances","AS","CBMS-R Mapping","1022"
"Changes/Restatement of Opening Balances","AS","disabled","Y"
"Changes/Restatement of Opening Balances","AA","CBMS","Changes/Restatement of Opening Balances"
"Creation of the New 3rd Forward Year Estimates'","AS","CBMS-R Mapping","1033"
"Creation of the New 3rd Forward Year Estimates'","AS","disabled","Y"
"Creation of the New 3rd Forward Year Estimates'","AA","CBMS","Creation of the New 3rd Forward Year Estimates"
"Competitive neutrality","AS","CBMS-R Mapping","1029"
"Competitive neutrality","AS","disabled","Y"
"Competitive neutrality","AA","CBMS","zz_[DO NOT USE] Competitive neutrality"
"Provisional Estimate","AS","CBMS-R Mapping","1029"
"Provisional Estimate","AS","disabled","Y"
"Provisional Estimate","AA","CBMS","zz_[DO NOT USE] Provisional Estimate"
"Other","AS","CBMS-R Mapping","1029"
"Other","AS","disabled","Y"
"Other","AA","CBMS","zz_[DO NOT USE] Other"
"Other variations not elsewhere defined","AS","CBMS-R Mapping","1029"
"Other variations not elsewhere defined","AS","disabled","Y"
"Other variations not elsewhere defined","AA","CBMS","Other variations not elsewhere defined"
"Other changes in program specific parameters","AS","CBMS-R Mapping","1012"
"Other changes in program specific parameters","AS","disabled","Y"
"27th Period","AS","CBMS-R Mapping","1029"
"27th Period","AS","disabled","Y"
"27th Period","AA","CBMS","zz_[DO NOT USE] 27th Period"
"Departmental Capital Budget (DCB) - Temporary Adjustments","AS","CBMS-R Mapping","1029"
"Departmental Capital Budget (DCB) - Temporary Adjustments","AS","disabled","Y"
"Departmental Capital Budget (DCB) - Temporary Adjustments","AA","CBMS","zz_[DO NOT USE] Departmental Capital Budget (DCB) - Temporary Adjustments"
"Related Entity","AS","CBMS-R Mapping","1034"
"Related Entity","AS","disabled","Y"
"Related Entity","AA","CBMS","zz_[DO NOT USE] Related Entity"
"sys_Rep Parameters and FE3","AA","CBMS","Total Parameters, ED and FE3 Reason Codes"
"sys_Rep Parameters and FE3","AA","CBMS code and description","Total Parameters, ED and FE3 Reason Codes"
