"-","AA","code and description","-"
"INT001","AA","description","Housing for Servicemen (interest)"
"INT001","AA","code and description","INT001 - Housing for Servicemen (interest)"
"INT002","AA","description","Other Housing (interest)"
"INT002","AA","code and description","INT002 - Other Housing (interest)"
"REP001","AA","description","Housing for Servicemen"
"REP001","AA","code and description","REP001 - Housing for Servicemen"
"REP002","AA","description","Other Housing"
"REP002","AA","code and description","REP002 - Other Housing"
